category,decision,experiment_id,folder,primary_comparison,priority,sequence,title
Evaluation foundation,PROMOTE,EXP-0050,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0050,candidate_vs_long_history_core_v1_common_2020_2023,P0,1 of 50,Corrected Common-Row Benchmark and Fold-Geometry Repair
Target dynamics,REJECT,EXP-0051,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0051,candidate_vs_long_history_core_v1_common_2020_2023,P1,2 of 50,Fold-Safe Multi-Timescale Dynamic Climatology
Non-stationarity,REJECT,EXP-0052,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0052,candidate_vs_long_history_core_v1_common_2020_2023,P1,3 of 50,Training-Only Change-Point and Era-Adaptive Target Model
Target dynamics,REJECT,EXP-0053,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0053,candidate_vs_long_history_core_v1_common_2020_2023,P1,4 of 50,Lagged Tmax Trajectory Shape and Dynamic-Time-Warping Analogues
Target dynamics,REJECT,EXP-0054,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0054,candidate_vs_long_history_core_v1_common_2020_2023,P2,5 of 50,"Causal Intraseasonal Spectral, SSA, and Wavelet State"
Target dynamics,REJECT,EXP-0055,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0055,candidate_vs_long_history_core_v1_common_2020_2023,P1,6 of 50,Hot/Cold Spell Duration and Reversal Hazard
Target dynamics and uncertainty,REJECT,EXP-0056,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0056,candidate_vs_long_history_core_v1_common_2020_2023,P1,7 of 50,"Volatility, Entropy, and Conditional Forecastability"
Non-stationarity,REJECT,EXP-0057,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0057,candidate_vs_long_history_core_v1_common_2020_2023,P1,8 of 50,Full/50/30/15-Year Recency-Window Expert Ensemble
Upper-air physics,REJECT,EXP-0058,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0058,candidate_vs_long_history_core_v1_common_2020_2023,P0,9 of 50,Potential-Temperature Mixed-Layer Ceiling
Upper-air physics,REJECT,EXP-0059,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0059,candidate_vs_long_history_core_v1_common_2020_2023,P0,10 of 50,Dry-Adiabatic Parcel Descent and Surface Realization Fraction
Upper-air physics,REJECT,EXP-0060,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0060,candidate_vs_long_history_core_v1_common_2020_2023,P0,11 of 50,"Full Inversion Geometry, Not Single-Level Difference"
Upper-air physics,REJECT,EXP-0061,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0061,candidate_vs_long_history_core_v1_common_2020_2023,P1,12 of 50,Integrated Lower-Tropospheric Heat Content and Layer Thickness
Upper-air physics,REJECT,EXP-0062,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0062,candidate_vs_long_history_core_v1_common_2020_2023,P1,13 of 50,Equivalent Potential Temperature and Moist Static Energy Profile
