"task_id","phase","title","dependencies","status","status_folder","task_file","spec_file","completion_record"
"T00","A Foundation","Repository, Database, and Contract Preflight","","completed","tasks/completed/T00_repository_database_preflight","tasks/completed/T00_repository_database_preflight/t00_repository_database_preflight.md","specs/t00_repository_database_preflight.json","tasks/completed/T00_repository_database_preflight/COMPLETION_RECORD.md"
"T01","A Foundation","Canonical T−24 Time and Availability Contract","T00","completed","tasks/completed/T01_canonical_t24_time_availability_contract","tasks/completed/T01_canonical_t24_time_availability_contract/t01_canonical_t24_time_availability_contract.md","specs/t01_canonical_t24_time_availability_contract.json","tasks/completed/T01_canonical_t24_time_availability_contract/COMPLETION_RECORD.md"
"T02","A Foundation","Full Current Data and Experiment Census Reconciliation","T00;T01","completed","tasks/completed/T02_full_current_data_census_reconciliation","tasks/completed/T02_full_current_data_census_reconciliation/t02_full_current_data_census_reconciliation.md","specs/t02_full_current_data_census_reconciliation.json","tasks/completed/T02_full_current_data_census_reconciliation/COMPLETION_RECORD.md"
"T03","A Foundation","GribStream Catalog, Coverage, Licence, and Quota Audit","T00;T01","completed","tasks/completed/T03_gribstream_catalog_coverage_licence_quota_audit","tasks/completed/T03_gribstream_catalog_coverage_licence_quota_audit/t03_gribstream_catalog_coverage_licence_quota_audit.md","specs/t03_gribstream_catalog_coverage_licence_quota_audit.json","tasks/completed/T03_gribstream_catalog_coverage_licence_quota_audit/COMPLETION_RECORD.md"
"T04","A Foundation","NWP Database, Object Storage, and Lineage Migrations","T00;T01;T02;T03","completed","tasks/completed/T04_nwp_database_object_storage_migrations","tasks/completed/T04_nwp_database_object_storage_migrations/t04_nwp_database_object_storage_migrations.md","specs/t04_nwp_database_object_storage_migrations.json","tasks/completed/T04_nwp_database_object_storage_migrations/COMPLETION_RECORD.md"
"T05","A Foundation","Canonical Location, Station, and Geospatial Registry","T02;T04","completed","tasks/completed/T05_canonical_location_station_geospatial_registry","tasks/completed/T05_canonical_location_station_geospatial_registry/t05_canonical_location_station_geospatial_registry.md","specs/t05_canonical_location_station_geospatial_registry.json","tasks/completed/T05_canonical_location_station_geospatial_registry/COMPLETION_RECORD.md"
"T06","B Acquisition","Resumable GribStream Runs Client and Raw Landing Zone","T03;T04;T05","completed","tasks/completed/T06_gribstream_resumable_runs_client","tasks/completed/T06_gribstream_resumable_runs_client/t06_gribstream_resumable_runs_client.md","specs/t06_gribstream_resumable_runs_client.json","tasks/completed/T06_gribstream_resumable_runs_client/COMPLETION_RECORD.md"
"T07_T12","B Acquisition","Consolidated Tactical H24N GribStream Backfill","T03;T04;T05;T06","not-completed","tasks/not-completed/T07_T12_tactical_h24n_gribstream_backfill","tasks/not-completed/T07_T12_tactical_h24n_gribstream_backfill/t07_t12_tactical_h24n_gribstream_backfill.md","tasks/not-completed/T07_T12_tactical_h24n_gribstream_backfill/task_spec.json",""
"T13","B Acquisition","HKO ARWF Exact-Vintage Prospective Collector","T04;T05","not-completed","tasks/not-completed/T13_hko_arwf_exact_vintage_collector","tasks/not-completed/T13_hko_arwf_exact_vintage_collector/t13_hko_arwf_exact_vintage_collector.md","specs/t13_hko_arwf_exact_vintage_collector.json",""
"T14","B Acquisition","Canonical Official HKO Anchor and Revision Store","T00;T01;T04","not-completed","tasks/not-completed/T14_official_hko_forecast_anchor_revision_store","tasks/not-completed/T14_official_hko_forecast_anchor_revision_store/t14_official_hko_forecast_anchor_revision_store.md","specs/t14_official_hko_forecast_anchor_revision_store.json",""
"T15","B Acquisition","Clean and Normalize Every Existing Dataset and Station","T02;T04;T05","not-completed","tasks/not-completed/T15_existing_dataset_clean_normalize_all_stations","tasks/not-completed/T15_existing_dataset_clean_normalize_all_stations/t15_existing_dataset_clean_normalize_all_stations.md","specs/t15_existing_dataset_clean_normalize_all_stations.json",""
"T16","B Acquisition","Historical Availability Proof and Eligibility Ledger","T01;T03;T07_T12;T13;T14;T15","not-completed","tasks/not-completed/T16_historical_availability_proof_ledger","tasks/not-completed/T16_historical_availability_proof_ledger/t16_historical_availability_proof_ledger.md","specs/t16_historical_availability_proof_ledger.json",""
"T17","B Acquisition","End-to-End Data Quality, Completeness, and Idempotency Gate","T07_T12;T13;T14;T15;T16","not-completed","tasks/not-completed/T17_end_to_end_data_quality_reconciliation","tasks/not-completed/T17_end_to_end_data_quality_reconciliation/t17_end_to_end_data_quality_reconciliation.md","specs/t17_end_to_end_data_quality_reconciliation.json",""
"T18","C Feature Platform","Canonical Target-Date T−24 Snapshot Builder","T01;T14;T16;T17","not-completed","tasks/not-completed/T18_canonical_target_date_t24_snapshot_builder","tasks/not-completed/T18_canonical_target_date_t24_snapshot_builder/t18_canonical_target_date_t24_snapshot_builder.md","specs/t18_canonical_target_date_t24_snapshot_builder.json",""
"T19","C Feature Platform","Official Forecast, Revision, Text, and Trust Feature Family","T14;T18","not-completed","tasks/not-completed/T19_official_forecast_feature_family","tasks/not-completed/T19_official_forecast_feature_family/t19_official_forecast_feature_family.md","specs/t19_official_forecast_feature_family.json",""
"T20","C Feature Platform","Causal Long-History Target Memory and Climatology Feature Store","T01;T15;T18","not-completed","tasks/not-completed/T20_causal_long_history_target_memory_climatology","tasks/not-completed/T20_causal_long_history_target_memory_climatology/t20_causal_long_history_target_memory_climatology.md","specs/t20_causal_long_history_target_memory_climatology.json",""
