task_id,phase,title,folder_suffix,dependencies,task_file,spec_file
T00,A Foundation,"Repository, Database, and Contract Preflight",repository_database_preflight,,tasks/t00_repository_database_preflight.md,specs/t00_repository_database_preflight.json
T01,A Foundation,Canonical T−24 Time and Availability Contract,canonical_t24_time_availability_contract,T00,tasks/t01_canonical_t24_time_availability_contract.md,specs/t01_canonical_t24_time_availability_contract.json
T02,A Foundation,Full Current Data and Experiment Census Reconciliation,full_current_data_census_reconciliation,T00;T01,tasks/t02_full_current_data_census_reconciliation.md,specs/t02_full_current_data_census_reconciliation.json
T03,A Foundation,"GribStream Catalog, Coverage, Licence, and Quota Audit",gribstream_catalog_coverage_licence_quota_audit,T00;T01,tasks/t03_gribstream_catalog_coverage_licence_quota_audit.md,specs/t03_gribstream_catalog_coverage_licence_quota_audit.json
T04,A Foundation,"NWP Database, Object Storage, and Lineage Migrations",nwp_database_object_storage_migrations,T00;T01;T02;T03,tasks/t04_nwp_database_object_storage_migrations.md,specs/t04_nwp_database_object_storage_migrations.json
T05,A Foundation,"Canonical Location, Station, and Geospatial Registry",canonical_location_station_geospatial_registry,T02;T04,tasks/t05_canonical_location_station_geospatial_registry.md,specs/t05_canonical_location_station_geospatial_registry.json
T06,B Acquisition,Resumable GribStream Runs Client and Raw Landing Zone,gribstream_resumable_runs_client,T03;T04;T05,tasks/t06_gribstream_resumable_runs_client.md,specs/t06_gribstream_resumable_runs_client.json
T07_T12,B Acquisition,Consolidated Tactical H24N GribStream Backfill,tactical_h24n_gribstream_backfill,T03;T04;T05;T06,tasks/not-completed/T07_T12_tactical_h24n_gribstream_backfill/t07_t12_tactical_h24n_gribstream_backfill.md,tasks/not-completed/T07_T12_tactical_h24n_gribstream_backfill/task_spec.json
T13,B Acquisition,HKO ARWF Exact-Vintage Prospective Collector,hko_arwf_exact_vintage_collector,T04;T05,tasks/t13_hko_arwf_exact_vintage_collector.md,specs/t13_hko_arwf_exact_vintage_collector.json
T14,B Acquisition,Canonical Official HKO Anchor and Revision Store,official_hko_forecast_anchor_revision_store,T00;T01;T04,tasks/t14_official_hko_forecast_anchor_revision_store.md,specs/t14_official_hko_forecast_anchor_revision_store.json
T15,B Acquisition,Clean and Normalize Every Existing Dataset and Station,existing_dataset_clean_normalize_all_stations,T02;T04;T05,tasks/t15_existing_dataset_clean_normalize_all_stations.md,specs/t15_existing_dataset_clean_normalize_all_stations.json
T16,B Acquisition,Historical Availability Proof and Eligibility Ledger,historical_availability_proof_ledger,T01;T03;T07_T12;T13;T14;T15,tasks/t16_historical_availability_proof_ledger.md,specs/t16_historical_availability_proof_ledger.json
T17,B Acquisition,"End-to-End Data Quality, Completeness, and Idempotency Gate",end_to_end_data_quality_reconciliation,T07_T12;T13;T14;T15;T16,tasks/t17_end_to_end_data_quality_reconciliation.md,specs/t17_end_to_end_data_quality_reconciliation.json
T18,C Feature Platform,Canonical Target-Date T−24 Snapshot Builder,canonical_target_date_t24_snapshot_builder,T01;T14;T16;T17,tasks/t18_canonical_target_date_t24_snapshot_builder.md,specs/t18_canonical_target_date_t24_snapshot_builder.json
T19,C Feature Platform,"Official Forecast, Revision, Text, and Trust Feature Family",official_forecast_feature_family,T14;T18,tasks/t19_official_forecast_feature_family.md,specs/t19_official_forecast_feature_family.json
T20,C Feature Platform,Causal Long-History Target Memory and Climatology Feature Store,causal_long_history_target_memory_climatology,T01;T15;T18,tasks/t20_causal_long_history_target_memory_climatology.md,specs/t20_causal_long_history_target_memory_climatology.json
T21,C Feature Platform,All-Station Spatiotemporal and Graph Feature Store,all_station_spatiotemporal_graph_features,T05;T15;T18,tasks/t21_all_station_spatiotemporal_graph_features.md,specs/t21_all_station_spatiotemporal_graph_features.json
T22,C Feature Platform,"Deterministic NWP Trajectory, Vertical, and Spatial Feature Store",deterministic_nwp_trajectory_spatial_features,T16;T18,tasks/t22_deterministic_nwp_trajectory_spatial_features.md,specs/t22_deterministic_nwp_trajectory_spatial_features.json
T23,C Feature Platform,Ensemble Distribution and Uncertainty Feature Store,ensemble_distribution_uncertainty_features,T07_T12;T16;T18,tasks/t23_ensemble_distribution_uncertainty_features.md,specs/t23_ensemble_distribution_uncertainty_features.json
T24,C Feature Platform,Diagnostic Physics Teacher-to-Safe-Student Features,diagnostic_physics_teacher_safe_student,T15;T18;T21;T22,tasks/t24_diagnostic_physics_teacher_safe_student.md,specs/t24_diagnostic_physics_teacher_safe_student.json
T25,C Feature Platform,Causal Online Residual and Source Performance State Engine,causal_online_residual_state_engine,T14;T18,tasks/t25_causal_online_residual_state_engine.md,specs/t25_causal_online_residual_state_engine.json
T26,C Feature Platform,"Feature Registry, Eligibility API, and Automated Leakage Gate",feature_registry_eligibility_leakage_api,T19;T20;T21;T22;T23;T24;T25,tasks/t26_feature_registry_eligibility_leakage_api.md,specs/t26_feature_registry_eligibility_leakage_api.json
T27,D Modelling,Canonical Evaluation Frames and Baseline Ladder,canonical_frames_baseline_ladder,T18;T26,tasks/t27_canonical_frames_baseline_ladder.md,specs/t27_canonical_frames_baseline_ladder.json
T28,D Modelling,"Official, Target-Memory, and Station Family Experts",official_target_station_family_experts,T27,tasks/t28_official_target_station_family_experts.md,specs/t28_official_target_station_family_experts.json
T29,D Modelling,Core GFS and GEFS Local MOS Experts,core_gfs_gefs_mos_experts,T22;T23;T27,tasks/t29_core_gfs_gefs_mos_experts.md,specs/t29_core_gfs_gefs_mos_experts.json
T30,D Modelling,"IFS, AI, CWA WRF, and ARWF Short-History Challenger Experts",short_history_challenger_experts,T07_T12;T13;T27,tasks/t30_short_history_challenger_experts.md,specs/t30_short_history_challenger_experts.json
T31,D Modelling,"Specialist Detector, Correction, and Benefit-Gate Framework",specialist_detector_correction_benefit_framework,T27;T28;T29,tasks/t31_specialist_detector_correction_benefit_framework.md,specs/t31_specialist_detector_correction_benefit_framework.json
T32,D Modelling,Nested Walk-Forward OOF Prediction Factory,nested_walk_forward_oof_prediction_factory,T28;T29;T31,tasks/t32_nested_walk_forward_oof_prediction_factory.md,specs/t32_nested_walk_forward_oof_prediction_factory.json
T33,D Modelling,"Expected-Error Router with Static Priors, Dynamic Weights, and Abstention",expected_error_router_static_dynamic_abstention,T32,tasks/t33_expected_error_router_static_dynamic_abstention.md,specs/t33_expected_error_router_static_dynamic_abstention.json
T34,D Modelling,Distributional Calibration and Conditional-Median Point Forecast,distributional_calibration_conditional_median,T23;T33,tasks/t34_distributional_calibration_conditional_median.md,specs/t34_distributional_calibration_conditional_median.json
T35,E Validation,"Full System Integration, Ablation, and Championship Tournament",full_system_integration_ablation_tournament,T33;T34,tasks/t35_full_system_integration_ablation_tournament.md,specs/t35_full_system_integration_ablation_tournament.json
T36,E Validation,One-Time 2024/2025/2026 Sealed Validation and Confirmation,one_time_sealed_validation_confirmation,T35,tasks/t36_one_time_sealed_validation_confirmation.md,specs/t36_one_time_sealed_validation_confirmation.json
T37,F Production,"Live Daily Inference, Monitoring, and Model Registry",live_daily_inference_monitoring_model_registry,T35;T36,tasks/t37_live_daily_inference_monitoring_model_registry.md,specs/t37_live_daily_inference_monitoring_model_registry.json
T38,F Production,Probability and Market-Threshold Interface with No-Trade Gate,probability_market_interface_no_trade_gate,T34;T37,tasks/t38_probability_market_interface_no_trade_gate.md,specs/t38_probability_market_interface_no_trade_gate.json
