experiment_id,title,status,direct_evidence_count,unimplemented_advanced_methods,candidate_feature_count,construction_bullet_count,folder_exists,long_report_exists
EXP-0050,Corrected Common-Row Benchmark and Fold-Geometry Repair,direct_core_contract_implemented,6,,268,5,True,True
EXP-0051,Fold-Safe Multi-Timescale Dynamic Climatology,direct_basic_methods_implemented,6,,41,5,True,True
EXP-0052,Training-Only Change-Point and Era-Adaptive Target Model,direct_basic_methods_implemented,4,,11,5,True,True
EXP-0053,Lagged Tmax Trajectory Shape and Dynamic-Time-Warping Analogues,direct_basic_methods_implemented,4,,29,5,True,True
EXP-0054,"Causal Intraseasonal Spectral, SSA, and Wavelet State",direct_basic_methods_implemented,3,,29,5,True,True
EXP-0055,Hot/Cold Spell Duration and Reversal Hazard,direct_basic_methods_implemented,3,,17,5,True,True
EXP-0056,"Volatility, Entropy, and Conditional Forecastability",direct_basic_methods_implemented,3,,21,5,True,True
EXP-0057,Full/50/30/15-Year Recency-Window Expert Ensemble,direct_basic_methods_implemented,4,,8,6,True,True
EXP-0058,Potential-Temperature Mixed-Layer Ceiling,direct_basic_methods_implemented,2,,59,6,True,True
EXP-0059,Dry-Adiabatic Parcel Descent and Surface Realization Fraction,direct_basic_methods_implemented,2,,78,6,True,True
EXP-0060,"Full Inversion Geometry, Not Single-Level Difference",direct_basic_methods_implemented,2,,28,6,True,True
EXP-0061,Integrated Lower-Tropospheric Heat Content and Layer Thickness,direct_basic_methods_implemented,2,,76,6,True,True
EXP-0062,Equivalent Potential Temperature and Moist Static Energy Profile,direct_basic_methods_implemented,2,,67,6,True,True
EXP-0063,Dry-Layer Entrainment and Evaporative-Cooling Potential,direct_basic_methods_implemented,2,,21,6,True,True
EXP-0064,"Vertical Wind Shear, Veering/Backing, and Air-Mass Advection",direct_basic_methods_implemented,2,,39,6,True,True
EXP-0065,"Geopotential Thickness, Ridge Strength, and Persistence Proxy",direct_basic_methods_implemented,2,,32,6,True,True
EXP-0066,Twenty-Four/48-Hour Sounding Evolution and Air-Mass Tendency,direct_basic_methods_implemented,2,,61,6,True,True
EXP-0067,Functional Profile PCA and Sounding-Shape Analogues,direct_basic_methods_implemented,3,,100,6,True,True
EXP-0068,Soft Upper-Air Regime Mixture of Experts,direct_basic_methods_implemented,3,,78,6,True,True
EXP-0069,"Sounding Quality, Missing-Level Geometry, and Reliability Shrinkage",direct_basic_methods_implemented,2,,64,6,True,True
EXP-0070,Raw ISD Intraday Thermal Trajectory Before 15:00 HKT,direct_basic_methods_implemented,2,,8,6,True,True
EXP-0071,"Intraday Dewpoint, Pressure, and Wind-Tendency Tensor",direct_basic_methods_implemented,2,,15,6,True,True
EXP-0072,Cold-Front and Monsoon-Surge Change-Point Detector,direct_basic_methods_implemented,3,,21,6,True,True
EXP-0073,Flow-Relative Upwind Station Weighting,direct_basic_methods_implemented,3,,26,6,True,True
EXP-0074,Regional Pressure-Gradient Vector and Tendency Field,direct_basic_methods_implemented,2,,4,6,True,True
EXP-0075,"Spatial Temperature/Dewpoint Plane, Curvature, and Thermal Centroid",direct_basic_methods_implemented,3,,19,6,True,True
EXP-0076,Coastal–Inland Thermal Contrast and Sea-Breeze Precursor,direct_basic_methods_implemented,2,,23,6,True,True
EXP-0077,North–South Continental Air-Mass Gradient and Surge Propagation,direct_basic_methods_implemented,2,,5,6,True,True
EXP-0078,East–West Pearl River Estuary and Coastal-Flow Gradient,direct_basic_methods_implemented,2,,8,6,True,True
EXP-0079,Graph-Laplacian Modes of the Long-History Station Network,direct_basic_methods_implemented,3,,75,6,True,True
EXP-0080,"Robust Spatial Distribution Shape, Entropy, and Hotspot Extremes",direct_basic_methods_implemented,2,,5,6,True,True
EXP-0081,Station-to-HKO Lead–Lag Propagation Map,direct_basic_methods_implemented,2,,30,6,True,True
EXP-0082,"Station Homogenization, Dynamic Offsets, and HKO Domain Adaptation",direct_basic_methods_implemented,2,,63,6,True,True
EXP-0083,Operational Station-Dropout and Missingness-Robust Learning,direct_basic_methods_implemented,2,,64,6,True,True
EXP-0084,"ISD Report-Type, QC, Observation-Age, and Precision Weighting",direct_basic_methods_implemented,2,,3,6,True,True
EXP-0085,"Antecedent Rainfall, Dry-Spell Length, and Surface-Wetness Memory",direct_basic_methods_implemented,2,,5,6,True,True
EXP-0086,Cloud–Sunshine Persistence and Radiative-Regime Memory,direct_basic_methods_implemented,2,,6,6,True,True
EXP-0087,Solar-Radiation-to-Tmax Conversion Efficiency,direct_basic_methods_implemented,2,,10,6,True,True
EXP-0088,"Grass Minimum, Evaporation, and Urban Heat-Storage Memory",direct_basic_methods_implemented,2,,6,6,True,True
EXP-0089,North Point Sea–Air Contrast and Marine Moderation Memory,direct_basic_methods_implemented,2,,15,6,True,True
EXP-0090,Waglan Wind Persistence and Marine-Ventilation State,direct_basic_methods_implemented,2,,12,6,True,True
EXP-0091,Long-History Daily-Climate Latent State,direct_basic_methods_implemented,2,,63,6,True,True
