decision,experiment_id,family,fdr_note
PROMOTE,EXP-0050,Evaluation foundation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0051,Target dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0052,Non-stationarity,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0053,Target dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0054,Target dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0055,Target dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0056,Target dynamics and uncertainty,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0057,Non-stationarity,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0058,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0059,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0060,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0061,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0062,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0063,Upper-air physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0064,Upper-air dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0065,Upper-air circulation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0066,Upper-air dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0067,Upper-air representation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0068,Upper-air regimes,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0069,Data-quality modelling,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0070,Regional surface dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0071,Regional surface dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0072,Transition meteorology,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0073,Spatial advection,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0074,Spatial pressure dynamics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0075,Spatial thermal structure,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0076,Coastal meteorology,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0077,Spatial advection,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0078,Spatial advection,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0079,Spatial representation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0080,Spatial statistics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0081,Spatial temporal propagation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0082,Station non-stationarity,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0083,Robustness,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
