actual_live_latency_statistics,backfill_adapter,blocker,collector_schedule,coverage_status,expected_live_latency,family_id,feature_family,historical_end,historical_live_known_differences,historical_live_schema_compatibility,historical_native_cadence,historical_revision_status,historical_source_id,historical_start,last_historical_success,last_live_success,license_and_commercial_use_status,live_adapter,live_available_at_rule,live_endpoint_or_bucket,live_issue_time_field,live_native_cadence,live_source_id,live_valid_time_field,operational_point_in_time_eligibility
pending from collector ledger,hko_backfill daily-extract,predictive use remains blocked by target-parity/governance; acquisition itself is current,hko_daily_extract_month daily 09:00 HKT,downloaded,once daily after HKO publication; collector policy 09:00 HKT,hko_daily_target_and_climate,target_labels_daily_climate,2026-06,current month mutates and may be incomplete before publication,"same provider family, annual/monthly payload differences",daily,current-year Daily Extract and climate files can revise,hko_daily_extract_operational,1884,,,HKO open-data/website terms apply,hko_backfill daily-extract through daily_hkt collector,retrieved_at after scheduled fetch; no assumed latency,https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_{yyyymm}.xml,provider publication row/date in Daily Extract payload,daily,hko_daily_extract_month,Hong Kong local date,target-only; not permitted as predictive feature
pending after durable collector runtime,datagov-historical-live,dense pre-2020 minute history is official_request_required,hko_latest_1min_temperature interval 10 minutes,partial,source timestamp plus retrieval latency,hko_high_frequency_temperature,regional_station_temperature_and_since_midnight_extrema,2026-06-18,public historical window begins 2020; older dense HKO station history requires official request or alternate archive,same feed family for temperature; since-midnight max/min paired separately in same station family,DATA.GOV.HK historical ZIP versions; source cadence about 10 minutes,potential point-in-time archive; ZIP version timestamps preserved,datagov_hko_historical_latest_1min_temperature_archive,2020-06-01,,,HKO/DATA.GOV.HK terms apply,direct_source collector,retrieved_at; no future station rows,https://data.weather.gov.hk/weatherAPI/hko_data/regional-weather/latest_1min_temperature.csv,Date time,about 10 minutes,hko_latest_1min_temperature,Date time,eligible after station timestamp parsing and source-time checks
pending after durable collector runtime,datagov-historical-live,no public pre-2020/2021 dense station feed archive found yet,humidity/pressure/wind/solar/UV intervals in collector_schedules.yaml,partial,source timestamp plus retrieval latency,hko_high_frequency_other_station_feeds,humidity_pressure_wind_solar_uv_station_observations,2026-06-18,"pressure, wind, and solar start later than temperature/humidity/UV",same provider feed family for downloaded variables,variable-specific DATA.GOV.HK historical ZIP versions,potential point-in-time archive; ZIP version timestamps preserved,datagov_hko_historical_latest_1min_humidity_archive,2020-06-01 or 2021-06-01 by variable,,,HKO/DATA.GOV.HK terms apply,direct_source collector,retrieved_at; no future rows,HKO regional-weather latest CSV feeds,Date time,10 to 15 minutes by feed,hko_latest_relative_humidity,Date time,eligible after timestamp parsing and station registry joins
pending after durable collector runtime,bounded official archive search and blocker report,historical direct rainfall/visibility/RHR JSON versions were not found in tested official history routes,"hko_automatic_rainfall, hko_latest_visibility, hko_current_weather_report",historically_unavailable,retrieved_at plus source timestamp where present,hko_rain_visibility_rhr_current_weather,rainfall_visibility_current_weather_report,historically_unavailable_confirmed_for_tested_direct_json_routes,prospective-only gap before acquisition start for rainfall/visibility/RHR direct feeds,no deep public historical equivalent found for direct JSON/latest routes,not available from tested public history routes,live-only unless another official archive is found,hko_historical_archive_api,historically_unavailable_confirmed_for_tested_direct_json_routes,,,HKO/DATA.GOV.HK terms apply,direct_source collector,retrieved_at; unchanged hashes append ledger only,"HKO current weather, rainfall, and visibility latest endpoints",Date time or payload updateTime where supplied,10 to 15 minutes for station feeds; provider-updated for RHR,hko_current_weather_report,Date time or observation time,live eligible; historical gap must be explicit in training/evaluation
pending after durable collector runtime,datagov-historical-rss,JSON-specific history historically_unavailable after tested official routes,"local forecast, nine-day forecast, warnings, SWT intervals",partial,issue/update time plus retrieval latency,hko_forecast_warning_vintages,official_forecast_warning_text_and_daily_forecasts,2026-06-18,historical JSON FLW/FND/warnsum/warningInfo/SWT versions not found,RSS history is official but not identical to JSON endpoint schema,DATA.GOV.HK historical RSS ZIP versions,preserved historical resource versions,hko_historical_rss_forecast_warning_archives,2020-06-01; nine-day RSS from 2021-04-01,,,HKO/DATA.GOV.HK terms apply,direct_source collector,retrieved_at after endpoint fetch; each changed payload is a vintage,HKO FLW/FND/warning/SWT JSON endpoints,updateTime or warning issue/update field,hourly and warning/provider updated,hko_local_weather_forecast,forecast period/date; warning validity where supplied,eligible after issue/update/retrieved timestamp parsing
pending after batch collector runtime,hko_backfill arwf-current,historical ARWF revisions require official archive discovery or request,hko_arwf_current_batch interval 30 minutes,live_only,portal update timestamp plus retrieval latency,hko_arwf_station_grid_forecasts,automatic_regional_weather_forecast_station_grid,current snapshot only before prospective collection,pre-acquisition ARWF vintages unavailable unless official archive found,current portal payloads are same live family; no deep public history,provider-updated current portal payloads,latest/current only unless official archive is found,hko_arwf_station_forecasts_and_nowcasts,current snapshot only before prospective collection,,,HKO website/open-data terms apply,hko_backfill_batch arwf-current,retrieved_at; do not reconstruct missing vintages,HKO ARWF portal discovered station/grid forecast endpoints,payload model/update timestamp where present,provider updated,hko_automatic_regional_forecast,forecast valid hour/date fields,live eligible after timestamp parsing
pending after collector runtime,hko_backfill radar-lightning,historical image backfill unavailable unless provider/archive source appears,hko_radar_lightning_batch interval 6 minutes,live_only,source issue time plus retrieval latency,hko_radar_lightning_nowcast,radar_lightning_rainfall_nowcast,current rolling window at acquisition start,deep historical public radar/lightning archive not found,live/current product family; pre-run historical imagery sparse,product-specific current window,current images/issues preserved from first retrieval only,radar_nowcast_lightning,current rolling window at acquisition start,,,HKO terms apply,hko_backfill_batch radar-lightning plus direct lightning/nowcast collectors,retrieved_at; preserve every referenced frame,"HKO radar manifest, lightning, and rainfall nowcast endpoints",manifest frame timestamp or nowcast issue timestamp,6 to 15 minutes,hko_radar_image_manifest,frame timestamp or nowcast valid time,live eligible after georeferencing/timestamp QC
pending after batch collector runtime,hko_backfill satellite-current; Himawari byte-budget policy,Himawari historical/live crop requires volume implementation and byte approval before bulk,hko_satellite_current_batch interval 15 minutes,partial,scan/publish time plus retrieval latency,hko_current_satellite_and_himawari,satellite_cloud_aerosol_context,partial_current_window,HKO current windows are not a full Himawari archive; Himawari bulk requires byte policy,HKO image products and Himawari AHI archive differ in resolution/channels/crops,product-specific image cadence,raw images immutable once archived,satellite_cloud_aerosol,HKO current/rolling windows plus Himawari policy from 2015-07,,,HKO/JMA/NOAA open archive terms to be preserved per object,hko_backfill_batch satellite-current; Himawari collector blocked by volume policy,retrieved_at; no later-cycle substitution,HKO satellite manifests plus Himawari official/open archive,image filename/manifest timestamp,product specific,hko_satellite,scan timestamp in filename/manifest,live eligible after image timestamp/channel/georeference parsing
pending after collector runtime,noaa-isd-nearby plus official request package,exact HKO dense 1984-2019 sub-daily history official_request_required if not public,HKO station feed intervals in collector_schedules.yaml,partial,source timestamp plus retrieval latency,noaa_isd_and_hko_headquarters_surface,regional_surface_station_history,2025,exact HKO Headquarters dense pre-2020 official rows not public in acquired feeds,NOAA ISD is proxy station/archive format; HKO live is official regional feed schema,hourly/sub-hourly station dependent,archive/proxy with limitations,noaa_isd_nearby_surface_observations,station-specific 1945/1946 where annual files exist,,,NOAA public data and HKO/DATA.GOV.HK terms apply,direct_source HKO station collectors,retrieved_at; station IDs must be resolved,HKO live station feeds,Date time,1 to 10 minutes by variable/feed,hko_latest_1min_temperature,Date time,proxy historical only until station identity/timestamp audit completes
pending after periodic refresh,hko_backfill upper-air,,hko_upper_air_refresh daily,downloaded,launch/processing/archive lag,upper_air_kings_park,upper_air_vertical_profiles,2026-06,Y2D may be preliminary relative to full archive,same IGRA station family for archive/Y2D,typically twice daily,NOAA IGRA archive plus year-to-date refresh,king_park_upper_air_and_regional_soundings,1949,,,NOAA public data terms apply,hko_backfill upper-air periodic refresh,retrieved_at with archive release lag,NOAA IGRA Y2D refresh / HKO or WMO sounding source,sounding observation time,typically 00/12 UTC,hko_upper_air,sounding observation time,eligible only with archive-release latency represented
