folder,file_count,total_uncompressed_bytes,readme_present,results_present,conclusion_present,summary_present,scoreboard_present,spec_present,sample_file_names,numeric_id,slug
0000_research_state_and_data_contract,1,6849,True,False,False,False,False,False,readme.md,0000,research_state_and_data_contract
0001_official_forecast_pre_cutoff_bias,2,6959,True,False,False,False,False,False,method.md|readme.md,0001,official_forecast_pre_cutoff_bias
0002_feature_correlation_atlas,1,8992,True,False,False,False,False,False,readme.md,0002,feature_correlation_atlas
0003_station_network_information_gain,1,19246,True,False,False,False,False,False,readme.md,0003,station_network_information_gain
0004_slope_trend_regime_signals,1,16371,True,False,False,False,False,False,readme.md,0004,slope_trend_regime_signals
0005_champion_error_autopsy,1,17457,True,False,False,False,False,False,readme.md,0005,champion_error_autopsy
0006_press_archive_offline_export,1,7087,True,False,False,False,False,False,readme.md,0006,press_archive_offline_export
0007_long_history_signal_stability,1,6387,True,False,False,False,False,False,readme.md,0007,long_history_signal_stability
0008_station_network_forensics,1,15196,True,False,False,False,False,False,readme.md,0008,station_network_forensics
0009_nonlinear_threshold_lifts,1,4883,True,False,False,False,False,False,readme.md,0009,nonlinear_threshold_lifts
0010_cross_feature_interaction_screens,1,6331,True,False,False,False,False,False,readme.md,0010,cross_feature_interaction_screens
0011_past_only_residual_correction_screen,1,8673,True,False,False,False,False,False,readme.md,0011,past_only_residual_correction_screen
0012_official_forecast_residual_anatomy,1,4076,True,False,False,False,False,False,readme.md,0012,official_forecast_residual_anatomy
0013_official_forecast_feature_conditioning,1,8579,True,False,False,False,False,False,readme.md,0013,official_forecast_feature_conditioning
0014_official_anchor_blend_sensitivity,1,7015,True,False,False,False,False,False,readme.md,0014,official_anchor_blend_sensitivity
0015_official_forecast_archive_coverage_gap,1,2364,True,False,False,False,False,False,readme.md,0015,official_forecast_archive_coverage_gap
0016_past_only_official_anchor_correction_ladder,1,12279,True,False,False,False,False,False,readme.md,0016,past_only_official_anchor_correction_ladder
0017_past_only_official_residual_analog_screen,1,16526,True,False,False,False,False,False,readme.md,0017,past_only_official_residual_analog_screen
0018_past_only_official_expert_blend_screen,1,7719,True,False,False,False,False,False,readme.md,0018,past_only_official_expert_blend_screen
0019_multistation_attribute_information_gain_matrix,0,0,False,False,False,False,False,False,,0019,multistation_attribute_information_gain_matrix
0019_multistation_info_gain,1,34347,True,False,False,False,False,False,readme.md,0019,multistation_info_gain
0020_regime_experts,1,16296,True,False,False,False,False,False,readme.md,0020,regime_experts
0021_failure_modes,1,28939,True,False,False,False,False,False,readme.md,0021,failure_modes
0022_failure_specialists,1,24328,True,False,False,False,False,False,readme.md,0022,failure_specialists
0023_composite_expert_stack,1,11336,True,False,False,False,False,False,readme.md,0023,composite_expert_stack
0024_press_archive_raw_detail_gap_audit,0,0,False,False,False,False,False,False,,0024,press_archive_raw_detail_gap_audit
