source_code,source_family,source_role,feature_prefix,strict_allowed,proxy_allowed,shadow_allowed,blocked,live_only,support_only,unit_semantics_verified,availability_grade,source_time_policy,min_target_date_hkt,max_target_date_hkt,required_source_scope,blocker_reason,promotion_gate,notes
hko_target_labels,target,strict_core,target,True,False,False,False,False,False,True,EXACT_VINTAGE,finalized daily labels may enter only as T-2-or-older target memory,2000-01-02,2026-06-21,,,always included as labels and lagged target memory only,Finalized target-day value is never a same-day feature.
hko_official_forecasts,official,strict_core,official,True,False,False,False,False,False,True,EXACT_VINTAGE,issue_at_utc must be <= operational freeze for the target date,2000-01-02,2026-06-21,,,always included when eligible row exists,Primary official HKO forecast anchor.
calendar,deterministic,strict_core,calendar,True,False,False,False,False,False,True,EXACT_VINTAGE,deterministic target-date metadata known before cutoff,2000-01-02,2026-06-21,,,always included,Only whitelisted cyclical/month/season/year-index fields may enter models.
gfs,gribstream,strict_core,gfs,True,False,False,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,2021-03-23,2026-06-23,full_tactical_backfill_ok_tmax,,core strict expert E4,Strict NWP source after full-run scope and H24N safe-row filters.
gefsatmosmean,gribstream,strict_core,gefsmean,True,False,False,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,2021-03-23,2026-06-23,full_tactical_backfill_ok_tmax,,core strict expert E5 context,GEFS mean context source after audited safe-row filter.
gefsatmos,gribstream,strict_core,gefsens,True,False,False,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,2021-03-23,2026-06-23,full_tactical_backfill_ok_tmax,,core strict expert E5 ensemble,HKO-center GEFS ensemble source after audited safe-row filter.
ifsoper,gribstream,shadow_challenger,ifsoper,False,False,True,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,2021-03-23,2026-06-23,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,"Shadow challenger, excluded from strict v1 features."
ifsenfo,gribstream,shadow_challenger,ifsens,False,False,True,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,2021-03-23,2026-06-23,full_tactical_backfill_ok_tmax,,may enter after sealed protocol; member-0 tracked,IFS ensemble shadow challenger.
cwawrf15,gribstream,live_shadow,cwawrf15,False,False,True,False,True,False,True,LIVE_FIRST_SEEN_ONLY,live first-seen collection only,2026-06-23,,full_tactical_backfill_ok_tmax,,prospective only until two seasonal cycles,CWA WRF live shadow source; absence is warning-level for Jira 001.
aifsoper,gribstream,shadow_challenger,aifsoper,False,False,True,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,,,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,AI deterministic shadow source.
