target_date,reason,missing_feature_columns,diagnostic_values
2021-07-01,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 30.7}"
2021-07-02,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.6}"
2021-07-03,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.4}"
2021-07-04,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.8}"
2021-07-05,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.0}"
2021-07-06,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.2}"
2021-07-07,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.8}"
2021-07-08,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.7}"
2021-07-09,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.1}"
2021-07-10,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.8}"
